"Save Page","Save Page"
"Save and Continue Edit","Save and Continue Edit"
"Delete Page","Delete Page"
"Edit Page '%1'","Edit Page '%1'"
"New Page","New Page"
Conditions,Conditions
"Page Layout","Page Layout"
Layout,Layout
"Columns Count","Columns Count"
"Count of columns in products grid","Count of columns in products grid"
"Include Navigation","Include Navigation"
Yes,Yes
No,No
Heading,Heading
"Supported formats: jpg,jpeg,gif,png","Supported formats: jpg,jpeg,gif,png"
Image,Image
"Image Alt","Image Alt"
"Top Description","Top Description"
"Bottom Description","Bottom Description"
"Top Static Block","Top Static Block"
"Choose Static Block to show Above Products List","Choose Static Block to show Above Products List"
"Bottom Static Block","Bottom Static Block"
"Choose Static Block to show Below Products List","Choose Static Block to show Below Products List"
"Important. Leave ""Position"" to apply the Sort Order configured for the Landing Page in the Page Products tab","Important. Leave ""Position"" to apply the Sort Order configured for the Landing Page in the Page Products tab"
"Layout Update XML","Layout Update XML"
Design,Design
"Page Information","Page Information"
"Linked Dynamic Category","Linked Dynamic Category"
"Dynamic Category Edit Page Link","Dynamic Category Edit Page Link"
"Page Title","Page Title"
"URL Key","URL Key"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Store View","Store View"
Link,Link
Status,Status
"Page Status","Page Status"
"Select 'Dynamic Category' to use Landing Page conditions for category product display.<br/>The selected Landing Page becomes unavailable by direct link.","Select 'Dynamic Category' to use Landing Page conditions for category product display.<br/>The selected Landing Page becomes unavailable by direct link."
Title,Title
"Meta Title","Meta Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
Description,Description
"Meta Description","Meta Description"
"Meta Robots","Meta Robots"
"Meta Data","Meta Data"
"Page Products","Page Products"
Name,Name
Price,Price
Stock,Stock
"Edit Landing Page: %1","Edit Landing Page: %1"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","We can't find a page to delete."
"The page has been duplicated.","The page has been duplicated."
"We can't find a page to duplicate.","We can't find a page to duplicate."
"Landing Page","Landing Page"
"Manage Pages","Manage Pages"
"This page no longer exists.","This page no longer exists."
"Edit Landing Page","Edit Landing Page"
"New Landing Page","New Landing Page"
"Landing Pages","Landing Pages"
CMS,CMS
"Manage Landing Pages","Manage Landing Pages"
Pages,Pages
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
